Dwell Time,SO Number
1.1,7335753
1.93,7335909
0.92,7336612
0.9,7335088
3.13,7335796
2.57,7332209
1.22,7342165
1.22,"7342043,7342156,7342166"
1.35,7335901
1.85,"7327522,7342912"
1.28,7335084
2.4,7342734
0.85,7330364
1.55,"7343444,7343443"
1.37,7337980
1.53,7337958
0.78,7337959
1.28,"7339228,7339230,7339073,7339310,7339085,7339087"
15.38,"7328572,7339198,7339065,7339235,7339236,7339327,7339086"
2.57,"7339064,7339302,7339308,7339311,7339253,7339255"
2.9,7337992
5.37,7339322
2.05,"7339076,7340061"
7.13,7335087
1.77,"7339324,7339072,7339242,7339334"
1.8,7335070
5.57,7335078
3.1,7335794
1.78,7332108
2.1,7337650
2.08,7323321
2.5,7323300
7.78,7340075
5.32,"7339234,7339315,7339091"
3.55,"7339229,7339233,7339309,7339240,7339254,7339332"
7.32,7339243
2.95,7339247
0.0,"7342038,7342143"
0.0,"7323290,7323363"
1.9,7339323
2.3,7339320
2.27,"7340063,7339304,7339312,7339330"
1.27,7342220
3.97,7337982
5.98,"7339305,7339314,7339090"
2.85,7339079
3.4,"7335085,7335910"
1.92,7341294
3.12,7335079
8.57,"7342180,7342181"
2.1,7326460
5.98,"7327517,7335946,7335558,7344640,7340987,7257663"
3.0,7339078
2.25,"7333196,7340064"
3.38,7342900
1.53,7339321
1.87,7339319
1.55,7337962
0.77,7337984
4.15,7337994
2.33,7342135
2.48,7337979
2.93,7335752
4.57,7335754
1.57,7342222
4.23,7337983
4.12,7335083
1.0,7332437
3.05,7342142
0.0,"7343437,7341060,7345178,7342093,7345177,7342466,7342873,7342874"
5.82,7337956
0.0,"7313433,7321993,7341247,7322120,7336651,7345015"
8.18,7345338
1.72,"7345028,7345408"
1.18,7339246
0.88,7335075
1.57,7344563
0.5,7342037
0.78,7344688
1.67,7342040
0.68,7342032
1.25,7341987
2.35,7335080
1.88,7344689
2.72,"7323451,7326474,7323292"
3.8,"7339303,7339075,7339088"
2.82,7339080
0.98,"7339301,7339074,7339328"
5.98,"7332894,7332895,7332897"
2.15,7345364
0.57,"7333248,7340067"
4.25,7250483
0.0,"7342931,7342932,7343110,7343460,7344632"
2.25,"7313433,7344559"
