Recv Date,Appt Date and Time,SO #,SO ID,Shipment Nbr,Customer Load ID,Pallets Left to Pull,Cases Left to Pull,UCC Label Name,Ship To,Bill To,PO,Order Status,Nbr Lines,Original Qty(eaches),Original Qty (cs),Allocated Qty(eaches),Allocated Qty (cs),Picked Qty(eaches),Picked Qty (cs),Left to Pick (Cs),SCAC,Ship Via,Pmt Term,Wave ID,Wave Descr,Stop,Trailer ID,Pallet Type
"Sep 17, 2024 10:13:04 AM","Oct 16, 2024 8:30:00 AM",7489144,7626354,9010157044,,0,0,C,AMAZON.COM #CLT2,AMAZON.COM BHP,7FT2MTWS,Staged,4,352,46,352,46,352,46,0,AMZX,AMZX,Collect,202112397794,Wave LTL Orders - Plt Cust,2,,
"Sep 20, 2024 1:55:06 PM","Oct 9, 2024 10:30:00 AM",7491017,7628573,9010157297,SL215174987,0,0,P,AMAZON HEB1,AMAZON SELLER CENTRAL EHP BI,IR00276-1,Loaded,62,"11,804","3,662","11,466","3,492","11,466","3,492",170,SLCY,DIMS,Prepaid,202112398632,Wave LTL Orders - Case Cust,2,370,
"Sep 24, 2024 10:43:09 AM","Oct 25, 2024 8:30:00 AM",7492704,7629968,9010157410,,0,0,C,AMAZON COM DEDC LLC AVP1,AMAZON.COM BHP,65HXVCUP,Staged,13,817,85,817,85,817,85,0,AMZX,AMZX,Collect,202112398811,Wave LTL Orders - Plt Cust,2,,
"Sep 24, 2024 11:01:06 AM","Oct 22, 2024 8:30:00 AM",7492703,7629970,9010157385,,0,0,C,AMAZON.COM.DEDC.LLC #ABE8,AMAZON.COM BI,434KGCDN,Staged,34,"4,252",240,"4,252",240,"4,252",240,0,AMZX,AMZX,Collect,202112398742,Wave LTL Orders - Plt Cust,2,,
"Sep 25, 2024 6:09:05 PM","Oct 28, 2024 12:30:00 PM",7491516,7628785,9010157829,AUR73413998M,0,0,P,DOLLAR GENERAL 96590,DOLLAR GENERAL,223C50,Staged,63,"43,932","1,479","43,932","1,479","43,932","1,479",0,TQYL,TQYL,Collect,202112399879,Wave LTL Orders - Plt Cust,2,,
"Sep 26, 2024 12:05:04 PM","Oct 3, 2024 11:05:00 AM",7494909,7632411,,,0,0,P,Tammy Day,SAMPLE REQUEST QA BI,TD92624,Released,1,1,1,0,0,0,0,1,,WLCL,Prepaid,,,,,
"Sep 30, 2024 2:59:55 PM","Oct 21, 2024 3:00:00 AM",7490366,7627687,9010157914,LEB73402964M,0,0,P,DOLLAR GENERAL 96970,DOLLAR GENERAL,222G41,Packed,17,"6,994",607,"6,994",607,"6,994",607,0,HUBG,HUBG,Collect,202112399931,Wave LTL Orders - Plt Cust,2,HGIU639274,
"Sep 30, 2024 9:19:04 PM","Oct 16, 2024 8:30:00 PM",7489967,7627336,9010157656,222DQ2-01,0,0,P,DOLLAR GENERAL 96500,DOLLAR GENERAL,222DQ2,Staged,23,"12,446",770,"12,446",770,"12,446",770,0,MABE,MABE,Collect,202112399265,Wave LTL Orders - Plt Cust,2,,
"Oct 1, 2024 11:01:05 AM","Oct 3, 2024 8:30:00 AM",7495027,7632674,9010157659,,0,1,P,Bradshaw Home,SAMPLE REQUEST QA BI,TD10124,DC Allocated,1,2,1,2,1,0,0,1,WLCL,WLCL,Prepaid,202112302301,Wave Parcel Orders,2,,
"Oct 1, 2024 11:35:06 AM","Oct 17, 2024 6:30:00 PM",7495852,7633352,,,0,0,P,AMAZON FRESH #HSE1,AMAZON FRESH,4E6VTLJH,Released,27,"4,402",113.72,0,0,0,0,113.72,,TFIN,Collect,,,,,
"Oct 1, 2024 1:19:04 PM","Oct 21, 2024 6:30:00 AM",7495483,7633095,9010157813,,0,0,C,AMAZON.COM.DEDC.LLC #ABE8,AMAZON.COM BI,64ZX6OLI,Staged,28,"4,038",341,"4,038",341,"4,038",341,0,AMZX,AMZX,Collect,202112399635,Wave LTL Orders - Plt Cust,2,,
"Oct 1, 2024 1:19:05 PM","Oct 16, 2024 8:30:00 AM",7495385,7633175,9010157728,,0,0,C,AMAZON.COM #CLT2,AMAZON.COM BI,27QTKPKN,Staged,18,"1,671",109,"1,671",109,"1,671",109,0,AMZX,AMZX,Collect,202112399509,Wave LTL Orders - Plt Cust,2,,
"Oct 1, 2024 1:19:06 PM","Oct 16, 2024 8:30:00 AM",7495392,7633180,9010157729,,0,0,C,"AMAZON.COM.DEDC, LLC AVP1",AMAZON.COM BI,7I1ANKDM,Staged,25,"1,522",136,"1,522",136,"1,522",136,0,AMZX,AMZX,Collect,202112399500,Wave LTL Orders - Plt Cust,2,,
"Oct 1, 2024 1:19:06 PM","Oct 16, 2024 10:30:00 AM",7495481,7633094,9010157731,,0,0,C,"AMAZON.COM KYDC,LLC #FTW1",AMAZON.COM BI,73Z7KCPC,Staged,24,"2,933",234,"2,933",234,"2,933",234,0,AMZX,AMZX,Collect,202112399513,Wave LTL Orders - Plt Cust,2,,
"Oct 3, 2024 9:43:03 AM","Oct 26, 2024 8:30:00 AM",7490097,7627624,9010158405,490377728,0,0,C,AWG-AIO HUB HERNANDO HNMS,VALU MERCHANDISERS,73186,Staged,11,631,154,631,154,631,154,0,RBTW,RBTW,Prepaid,202112301361,Wave LTL Orders - Case Cust,2,21753,4 - Use Stringer 4way (#1) Pal
"Oct 3, 2024 9:43:04 AM","Oct 26, 2024 8:30:00 AM",7489961,7627329,9010158405,490377728,0,0,C,AWG-AIO HUB HERNANDO HNMS,VALU MERCHANDISERS,73213,Staged,9,"2,832",544,"2,832",544,"2,832",544,0,RBTW,RBTW,Prepaid,202112301250,Wave LTL Orders - Case Cust,2,21753,4 - Use Stringer 4way (#1) Pal
"Oct 3, 2024 4:39:05 PM","Oct 21, 2024 6:30:00 AM",7497451,7635057,9010158003,SL215228203,0,0,P,AMAZON HEB1,AMAZON SELLER CENTRAL EHP BI,IR00309-1,Loaded,20,"16,942","4,220","16,942","4,220","16,942","4,220",0,SLCY,VQXX,Prepaid,202112300086,Wave LTL Orders - Case Cust,2,53122,
"Oct 3, 2024 6:33:03 PM","Oct 20, 2024 8:30:00 AM",7485145,7634145,9010158121,4722764,0,0,P,C & S WHOLESALE GROCERS #0037,C & S WHSL (BETH 4),777271,Loaded,1,24,24,24,24,24,24,0,GELJ,GELJ,Prepaid,202112300427,Wave LTL Orders - Plt Cust,2,2,1 - Use CHEP Pallet
"Oct 7, 2024 11:09:03 AM","Oct 9, 2024 12:00:00 AM",7497356,7634874,,,0,0,C,BASL LIMITED ATTN Raymond Wong,SAMPLE REQUEST,SLS-RW10724,Packed,2,9,0.17,9,0.17,9,0.17,0,,F111,Prepaid,202112300519,Wave Parcel Orders,0,,
"Oct 7, 2024 11:09:05 AM","Oct 14, 2024 12:00:00 AM",7496798,7634298,,,0,0,P,"SUPERVALU - POMPANO BEACH, FL",SUPERVALU OCALA,81479432,Manifested,7,576,13,576,13,576,13,0,,F117,Prepaid,202112300720,Wave Parcel Orders,0,,4 - Use Stringer 4way (#1) Pal
"Oct 7, 2024 11:39:03 AM","Oct 21, 2024 6:30:00 AM",7496822,7634321,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2789691,Staged,2,72,30,72,30,72,30,0,CNWY,CNWY,Collect,202112300493,Wave LTL Orders - Case Cust,3,,
"Oct 7, 2024 11:39:04 AM","Oct 21, 2024 6:30:00 AM",7496824,7634323,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2789691,Staged,2,94,38,94,38,94,38,0,CNWY,CNWY,Collect,202112300493,Wave LTL Orders - Case Cust,4,,
"Oct 7, 2024 11:39:04 AM","Oct 21, 2024 6:30:00 AM",7496843,7634827,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2809688,Staged,1,16,4,16,4,16,4,0,CNWY,CNWY,Collect,202112300458,Wave LTL Orders - Case Cust,5,,
"Oct 7, 2024 11:39:05 AM","Oct 21, 2024 6:30:00 AM",7496842,7634824,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2809688,Staged,1,4,1,4,1,4,1,0,CNWY,CNWY,Collect,202112300456,Wave LTL Orders - Case Cust,7,,
"Oct 7, 2024 11:39:06 AM","Oct 21, 2024 6:30:00 AM",7496820,7634319,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2789691,Staged,2,84,32,84,32,84,32,0,CNWY,CNWY,Collect,202112300497,Wave LTL Orders - Case Cust,6,,
"Oct 7, 2024 11:39:06 AM","Oct 21, 2024 6:30:00 AM",7496823,7634322,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2789691,Staged,2,42,18,42,18,42,18,0,CNWY,CNWY,Collect,202112300498,Wave LTL Orders - Case Cust,8,,
"Oct 7, 2024 11:39:06 AM","Oct 21, 2024 6:30:00 AM",7496841,7634826,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2809688,Staged,1,8,2,8,2,8,2,0,CNWY,CNWY,Collect,202112300455,Wave LTL Orders - Case Cust,9,,
"Oct 7, 2024 11:39:06 AM","Oct 21, 2024 6:30:00 AM",7496839,7634825,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2809688,Staged,1,8,2,8,2,8,2,0,CNWY,CNWY,Collect,202112300493,Wave LTL Orders - Case Cust,10,,
"Oct 7, 2024 11:47:04 AM","Oct 21, 2024 6:30:00 AM",7496821,7634320,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2789691,Staged,2,144,58,144,58,144,58,0,CNWY,CNWY,Collect,202112300498,Wave LTL Orders - Case Cust,11,,
"Oct 7, 2024 11:47:20 AM","Oct 21, 2024 6:30:00 AM",7496840,7634828,9010158125,M1049116,0,0,C,MCX RDC EAST - 60001,SEMPER FIT AND EXCHANGE SVS,2809688,Staged,1,24,6,24,6,24,6,0,CNWY,CNWY,Collect,202112300493,Wave LTL Orders - Case Cust,2,,
"Oct 7, 2024 12:35:04 PM","Oct 16, 2024 12:00:00 AM",7499396,7636800,,,0,0,C,RISHABA INDUSTRIES LLP,SAMPLE REQUEST,SLS-RISHIBA10724,Manifested,2,6,0.08,6,0.08,6,0.08,0,,F112,Prepaid,202112300663,Wave Parcel Orders,0,,
"Oct 7, 2024 2:45:05 PM","Oct 16, 2024 12:00:00 AM",7499398,7636817,,,0,0,C,GANESH ,SAMPLE REQUEST,SLS-GANESH10724,Manifested,2,6,0.08,6,0.08,6,0.08,0,,F112,Prepaid,202112300663,Wave Parcel Orders,0,,
"Oct 7, 2024 4:21:05 PM","Oct 16, 2024 12:00:00 AM",7499602,7636833,,,0,0,C,KANGARO INDUSTRIES LTD,SAMPLE REQUEST,SLS-KANGARO10724,Manifested,2,6,0.08,6,0.08,6,0.08,0,,F112,Prepaid,202112300663,Wave Parcel Orders,0,,
"Oct 7, 2024 5:05:04 PM","Oct 21, 2024 8:30:00 PM",7496000,7633664,9010158368,ZAN73501539M,4,0,P,DOLLAR GENERAL 96900,DOLLAR GENERAL,229JL9,In Packing,6,"5,472","1,460","5,472","1,460","5,000","1,378",82,RBTW,AXLL,Collect,202112301640,Wave LTL Orders - Plt Cust,2,,
"Oct 8, 2024 10:27:03 AM","Oct 15, 2024 12:00:00 AM",7499708,7636959,9010158606,,0,0,P,LODGING KIT COMPANY FLORIDA DC 02,THE LODGING KIT CO / BOONVILLE,160295,Loaded,2,168,36,168,36,168,36,0,SAIA,SAIA,Prepaid,202112301738,Wave LTL Orders - Plt Cust,2,485706,
"Oct 8, 2024 10:55:05 AM","Oct 23, 2024 8:30:00 AM",7498689,7636325,9010158130,,0,0,C,AMAZON.COM #CLT2,AMAZON.COM BI,7RBQSNRL,Staged,24,"1,715",199,"1,715",199,"1,715",199,0,AMZX,AMZX,Collect,202112300529,Wave LTL Orders - Plt Cust,2,,
"Oct 8, 2024 10:55:09 AM","Oct 21, 2024 10:30:00 AM",7498690,7636323,9010158457,,0,0,C,AMAZON.COM TEB9,AMAZON.COM BI,7RRYEJIO,Staged,8,642,60,642,60,642,60,0,AMZX,AMZX,Collect,202112300422,Wave LTL Orders - Plt Cust,2,,
"Oct 8, 2024 11:09:03 AM","Oct 10, 2024 12:00:00 AM",7499715,7636965,,,0,0,C,BASL LIMITED ATTN Raymond Wong,SAMPLE REQUEST,SLS-RW10724,Packed,1,6,0.08,6,0.08,6,0.08,0,,F111,Prepaid,202112300665,Wave Parcel Orders,0,,
"Oct 8, 2024 1:55:06 PM","Oct 14, 2024 12:00:00 AM",7499721,7636994,,,0,0,C,Ted O'Rourke,SAMPLE REQUEST,SLS-TO10824,Manifested,90,180,9.69,180,9.69,180,9.69,0,,F117,Prepaid,202112300720,Wave Parcel Orders,0,,
"Oct 8, 2024 2:09:03 PM","Oct 21, 2024 10:30:00 PM",7458623,7634813,9010158300,771779,0,0,P,CLT1N TROUTMAN NC FC- VS3856,WAL-MART STORES,2681172912,Staged,1,"2,640","2,640","2,620","2,620","2,620","2,620",20,CVQC,SAIA,Prepaid,202112300999,Wave LTL Orders - Plt Cust,2,,
"Oct 8, 2024 2:09:03 PM","Oct 22, 2024 6:30:00 AM",7458451,7634808,9010158301,771943,0,0,P,WAL-MART DC 7356R REGULAR,WAL-MART STORES,4130964269,Staged,1,"1,074","1,074","1,074","1,074","1,074","1,074",0,CVQC,SAIA,Prepaid,202112301000,Wave LTL Orders - Plt Cust,2,,
